d3mIndex,cylinders,displacement,horsepower,weight,acceleration,model,origin,class
1,8,350.0,165.0,3693.0,11.5,70,1,15.0
2,8,318.0,150.0,3436.0,11.0,70,1,18.0
4,8,302.0,140.0,3449.0,10.5,70,1,17.0
6,8,454.0,220.0,4354.0,9.0,70,1,14.0
7,8,440.0,215.0,4312.0,8.5,70,1,14.0
8,8,455.0,225.0,4425.0,10.0,70,1,14.0
10,8,383.0,170.0,3563.0,10.0,70,1,15.0
11,8,340.0,160.0,3609.0,8.0,70,1,14.0
12,8,400.0,150.0,3761.0,9.5,70,1,15.0
13,8,455.0,225.0,3086.0,10.0,70,1,14.0
14,4,113.0,95.0,2372.0,15.0,70,3,24.0
16,6,199.0,97.0,2774.0,15.5,70,1,18.0
17,6,200.0,85.0,2587.0,16.0,70,1,21.0
19,4,97.0,46.0,1835.0,20.5,70,2,26.0
20,4,110.0,87.0,2672.0,17.5,70,2,25.0
21,4,107.0,90.0,2430.0,14.5,70,2,24.0
23,4,121.0,113.0,2234.0,12.5,70,2,26.0
24,6,199.0,90.0,2648.0,15.0,70,1,21.0
26,8,307.0,200.0,4376.0,15.0,70,1,10.0
27,8,318.0,210.0,4382.0,13.5,70,1,11.0
28,8,304.0,193.0,4732.0,18.5,70,1,9.0
29,4,97.0,88.0,2130.0,14.5,71,3,27.0
32,4,98.0,,2046.0,19.0,71,1,25.0
34,6,225.0,105.0,3439.0,15.5,71,1,16.0
35,6,250.0,100.0,3329.0,15.5,71,1,17.0
36,6,250.0,88.0,3302.0,15.5,71,1,19.0
37,6,232.0,100.0,3288.0,15.5,71,1,18.0
38,8,350.0,165.0,4209.0,12.0,71,1,14.0
40,8,351.0,153.0,4154.0,13.5,71,1,14.0
41,8,318.0,150.0,4096.0,13.0,71,1,14.0
43,8,400.0,170.0,4746.0,12.0,71,1,13.0
44,8,400.0,175.0,5140.0,12.0,71,1,13.0
47,6,250.0,100.0,3282.0,15.0,71,1,19.0
48,6,250.0,88.0,3139.0,14.5,71,1,18.0
49,4,122.0,86.0,2220.0,14.0,71,1,23.0
50,4,116.0,90.0,2123.0,14.0,71,2,28.0
51,4,79.0,70.0,2074.0,19.5,71,2,30.0
52,4,88.0,76.0,2065.0,14.5,71,2,30.0
53,4,71.0,65.0,1773.0,19.0,71,3,31.0
54,4,72.0,69.0,1613.0,18.0,71,3,35.0
58,4,97.5,80.0,2126.0,17.0,72,1,25.0
59,4,97.0,54.0,2254.0,23.5,72,2,23.0
60,4,140.0,90.0,2408.0,19.5,72,1,20.0
61,4,122.0,86.0,2226.0,16.5,72,1,21.0
62,8,350.0,165.0,4274.0,12.0,72,1,13.0
64,8,318.0,150.0,4135.0,13.5,72,1,15.0
65,8,351.0,153.0,4129.0,13.0,72,1,14.0
66,8,304.0,150.0,3672.0,11.5,72,1,17.0
67,8,429.0,208.0,4633.0,11.0,72,1,11.0
68,8,350.0,155.0,4502.0,13.5,72,1,13.0
69,8,350.0,160.0,4456.0,13.5,72,1,12.0
71,3,70.0,97.0,2330.0,13.5,72,3,19.0
74,8,302.0,140.0,4294.0,16.0,72,1,13.0
79,4,96.0,69.0,2189.0,18.0,72,2,26.0
80,4,122.0,86.0,2395.0,16.0,72,1,22.0
81,4,97.0,92.0,2288.0,17.0,72,3,28.0
83,4,98.0,80.0,2164.0,15.0,72,1,28.0
85,8,350.0,175.0,4100.0,13.0,73,1,13.0
86,8,304.0,150.0,3672.0,11.5,73,1,14.0
87,8,350.0,145.0,3988.0,13.0,73,1,13.0
88,8,302.0,137.0,4042.0,14.5,73,1,14.0
89,8,318.0,150.0,3777.0,12.5,73,1,15.0
91,8,400.0,150.0,4464.0,12.0,73,1,13.0
92,8,351.0,158.0,4363.0,13.0,73,1,13.0
95,8,455.0,225.0,4951.0,11.0,73,1,12.0
96,8,360.0,175.0,3821.0,11.0,73,1,13.0
97,6,225.0,105.0,3121.0,16.5,73,1,18.0
98,6,250.0,100.0,3278.0,18.0,73,1,16.0
99,6,232.0,100.0,2945.0,16.0,73,1,18.0
100,6,250.0,88.0,3021.0,16.5,73,1,18.0
102,4,97.0,46.0,1950.0,21.0,73,2,26.0
103,8,400.0,150.0,4997.0,14.0,73,1,11.0
105,8,360.0,170.0,4654.0,13.0,73,1,13.0
106,8,350.0,180.0,4499.0,12.5,73,1,12.0
107,6,232.0,100.0,2789.0,15.0,73,1,18.0
109,4,140.0,72.0,2401.0,19.5,73,1,21.0
110,4,108.0,94.0,2379.0,16.5,73,3,22.0
111,3,70.0,90.0,2124.0,13.5,73,3,18.0
112,4,122.0,85.0,2310.0,18.5,73,1,19.0
115,8,350.0,145.0,4082.0,13.0,73,1,15.0
117,4,68.0,49.0,1867.0,19.5,73,2,29.0
119,4,114.0,91.0,2582.0,14.0,73,2,20.0
120,4,121.0,112.0,2868.0,15.5,73,2,19.0
121,8,318.0,150.0,3399.0,11.0,73,1,15.0
122,4,121.0,110.0,2660.0,14.0,73,2,24.0
123,6,156.0,122.0,2807.0,13.5,73,3,20.0
125,6,198.0,95.0,3102.0,16.5,74,1,20.0
127,6,232.0,100.0,2901.0,16.0,74,1,19.0
128,6,250.0,100.0,3336.0,17.0,74,1,15.0
129,4,79.0,67.0,1950.0,19.0,74,3,31.0
130,4,122.0,80.0,2451.0,16.5,74,1,26.0
131,4,71.0,65.0,1836.0,21.0,74,3,32.0
133,6,250.0,100.0,3781.0,17.0,74,1,16.0
134,6,258.0,110.0,3632.0,18.0,74,1,16.0
135,6,225.0,105.0,3613.0,16.5,74,1,18.0
136,8,302.0,140.0,4141.0,14.0,74,1,16.0
137,8,350.0,150.0,4699.0,14.5,74,1,13.0
138,8,318.0,150.0,4457.0,13.5,74,1,14.0
139,8,302.0,140.0,4638.0,16.0,74,1,14.0
142,4,79.0,67.0,1963.0,15.5,74,2,26.0
143,4,97.0,78.0,2300.0,14.5,74,2,26.0
144,4,76.0,52.0,1649.0,16.5,74,3,31.0
145,4,83.0,61.0,2003.0,19.0,74,3,32.0
146,4,90.0,75.0,2125.0,14.5,74,1,28.0
147,4,90.0,75.0,2108.0,15.5,74,2,24.0
149,4,120.0,97.0,2489.0,15.0,74,3,24.0
150,4,108.0,93.0,2391.0,15.5,74,3,26.0
151,4,79.0,67.0,2000.0,16.0,74,2,31.0
153,6,250.0,105.0,3459.0,16.0,75,1,18.0
154,6,250.0,72.0,3432.0,21.0,75,1,15.0
155,6,250.0,72.0,3158.0,19.5,75,1,15.0
156,8,400.0,170.0,4668.0,11.5,75,1,16.0
157,8,350.0,145.0,4440.0,14.0,75,1,15.0
159,8,351.0,148.0,4657.0,13.5,75,1,14.0
160,6,231.0,110.0,3907.0,21.0,75,1,17.0
161,6,250.0,105.0,3897.0,18.5,75,1,16.0
162,6,258.0,110.0,3730.0,19.0,75,1,15.0
163,6,225.0,95.0,3785.0,19.0,75,1,18.0
164,6,231.0,110.0,3039.0,15.0,75,1,21.0
165,8,262.0,110.0,3221.0,13.5,75,1,20.0
166,8,302.0,129.0,3169.0,12.0,75,1,13.0
167,4,97.0,75.0,2171.0,16.0,75,3,29.0
169,6,232.0,100.0,2914.0,16.0,75,1,20.0
170,4,140.0,78.0,2592.0,18.5,75,1,23.0
171,4,134.0,96.0,2702.0,13.5,75,3,24.0
173,4,119.0,97.0,2545.0,17.0,75,3,24.0
174,6,171.0,97.0,2984.0,14.5,75,1,18.0
176,6,232.0,90.0,3211.0,17.0,75,1,19.0
178,4,120.0,88.0,2957.0,17.0,75,2,23.0
179,4,121.0,98.0,2945.0,14.5,75,2,22.0
182,4,107.0,86.0,2464.0,15.5,76,2,28.0
183,4,116.0,81.0,2220.0,16.9,76,2,25.0
184,4,140.0,92.0,2572.0,14.9,76,1,25.0
185,4,98.0,79.0,2255.0,17.7,76,1,26.0
186,4,101.0,83.0,2202.0,15.3,76,2,27.0
187,8,305.0,140.0,4215.0,13.0,76,1,17.5
188,8,318.0,150.0,4190.0,13.0,76,1,16.0
189,8,304.0,120.0,3962.0,13.9,76,1,15.5
190,8,351.0,152.0,4215.0,12.8,76,1,14.5
191,6,225.0,100.0,3233.0,15.4,76,1,22.0
192,6,250.0,105.0,3353.0,14.5,76,1,22.0
193,6,200.0,81.0,3012.0,17.6,76,1,24.0
194,6,232.0,90.0,3085.0,17.6,76,1,22.5
195,4,85.0,52.0,2035.0,22.2,76,1,29.0
197,4,90.0,70.0,1937.0,14.2,76,2,29.0
199,6,225.0,100.0,3651.0,17.7,76,1,20.0
200,6,250.0,78.0,3574.0,21.0,76,1,18.0
201,6,250.0,110.0,3645.0,16.2,76,1,18.5
202,6,258.0,95.0,3193.0,17.8,76,1,17.5
203,4,97.0,71.0,1825.0,12.2,76,2,29.5
204,4,85.0,70.0,1990.0,17.0,76,3,32.0
205,4,97.0,75.0,2155.0,16.4,76,3,28.0
206,4,140.0,72.0,2565.0,13.6,76,1,26.5
207,4,130.0,102.0,3150.0,15.7,76,2,20.0
209,4,120.0,88.0,3270.0,21.9,76,2,19.0
211,6,168.0,120.0,3820.0,16.7,76,2,16.5
212,8,350.0,180.0,4380.0,12.1,76,1,16.5
213,8,350.0,145.0,4055.0,12.0,76,1,13.0
214,8,302.0,130.0,3870.0,15.0,76,1,13.0
215,8,318.0,150.0,3755.0,14.0,76,1,13.0
216,4,98.0,68.0,2045.0,18.5,77,3,31.5
217,4,111.0,80.0,2155.0,14.8,77,1,30.0
219,4,122.0,96.0,2300.0,15.5,77,1,25.5
220,4,85.0,70.0,1945.0,16.8,77,3,33.5
221,8,305.0,145.0,3880.0,12.5,77,1,17.5
223,8,318.0,145.0,4140.0,13.7,77,1,15.5
224,8,302.0,130.0,4295.0,14.9,77,1,15.0
226,6,231.0,105.0,3425.0,16.9,77,1,20.5
227,6,225.0,100.0,3630.0,17.7,77,1,19.0
228,6,250.0,98.0,3525.0,19.0,77,1,18.5
230,8,350.0,170.0,4165.0,11.4,77,1,15.5
232,8,351.0,149.0,4335.0,14.5,77,1,16.0
233,4,97.0,78.0,1940.0,14.5,77,2,29.0
235,4,97.0,75.0,2265.0,18.2,77,3,26.0
236,4,140.0,89.0,2755.0,15.8,77,1,25.5
237,4,98.0,63.0,2051.0,17.0,77,1,30.5
239,4,97.0,67.0,1985.0,16.4,77,3,30.0
240,4,97.0,78.0,2190.0,14.1,77,2,30.5
241,6,146.0,97.0,2815.0,14.5,77,3,22.0
242,4,121.0,110.0,2600.0,12.8,77,2,21.5
243,3,80.0,110.0,2720.0,13.5,77,3,21.5
244,4,90.0,48.0,1985.0,21.5,78,2,43.1
245,4,98.0,66.0,1800.0,14.4,78,1,36.1
247,4,85.0,70.0,2070.0,18.6,78,3,39.4
250,8,318.0,140.0,3735.0,13.2,78,1,19.4
251,8,302.0,139.0,3570.0,12.8,78,1,20.2
252,6,231.0,105.0,3535.0,19.2,78,1,19.2
253,6,200.0,95.0,3155.0,18.2,78,1,20.5
254,6,200.0,85.0,2965.0,15.8,78,1,20.2
255,4,140.0,88.0,2720.0,15.4,78,1,25.1
256,6,225.0,100.0,3430.0,17.2,78,1,20.5
257,6,232.0,90.0,3210.0,17.2,78,1,19.4
258,6,231.0,105.0,3380.0,15.8,78,1,20.6
259,6,200.0,85.0,3070.0,16.7,78,1,20.8
260,6,225.0,110.0,3620.0,18.7,78,1,18.6
263,6,231.0,165.0,3445.0,13.4,78,1,17.7
264,8,302.0,139.0,3205.0,11.2,78,1,18.1
265,8,318.0,140.0,4080.0,13.7,78,1,17.5
266,4,98.0,68.0,2155.0,16.5,78,1,30.0
267,4,134.0,95.0,2560.0,14.2,78,3,27.5
268,4,119.0,97.0,2300.0,14.7,78,3,27.2
269,4,105.0,75.0,2230.0,14.5,78,1,30.9
270,4,134.0,95.0,2515.0,14.8,78,3,21.1
271,4,156.0,105.0,2745.0,16.7,78,1,23.2
273,4,119.0,97.0,2405.0,14.9,78,3,23.9
274,5,131.0,103.0,2830.0,15.9,78,2,20.3
276,4,121.0,115.0,2795.0,15.7,78,2,21.6
277,6,163.0,133.0,3410.0,15.8,78,2,16.2
278,4,89.0,71.0,1990.0,14.9,78,2,31.5
279,4,98.0,68.0,2135.0,16.6,78,3,29.5
281,6,200.0,85.0,2990.0,18.2,79,1,19.8
282,4,140.0,88.0,2890.0,17.3,79,1,22.3
283,6,232.0,90.0,3265.0,18.2,79,1,20.2
284,6,225.0,110.0,3360.0,16.6,79,1,20.6
286,8,302.0,129.0,3725.0,13.4,79,1,17.6
287,8,351.0,138.0,3955.0,13.2,79,1,16.5
288,8,318.0,135.0,3830.0,15.2,79,1,18.2
289,8,350.0,155.0,4360.0,14.9,79,1,16.9
290,8,351.0,142.0,4054.0,14.3,79,1,15.5
291,8,267.0,125.0,3605.0,15.0,79,1,19.2
293,4,89.0,71.0,1925.0,14.0,79,2,31.9
295,4,98.0,80.0,1915.0,14.4,79,1,35.7
296,4,121.0,80.0,2670.0,15.0,79,1,27.4
297,5,183.0,77.0,3530.0,20.1,79,2,25.4
299,4,141.0,71.0,3190.0,24.8,79,2,27.2
300,8,260.0,90.0,3420.0,22.2,79,1,23.9
301,4,105.0,70.0,2200.0,13.2,79,1,34.2
302,4,105.0,70.0,2150.0,14.9,79,1,34.5
303,4,85.0,65.0,2020.0,19.2,79,3,31.8
304,4,91.0,69.0,2130.0,14.7,79,2,37.3
305,4,151.0,90.0,2670.0,16.0,79,1,28.4
306,6,173.0,115.0,2595.0,11.3,79,1,28.8
308,4,151.0,90.0,2556.0,13.2,79,1,33.5
309,4,98.0,76.0,2144.0,14.7,80,2,41.5
310,4,89.0,60.0,1968.0,18.8,80,3,38.1
311,4,98.0,70.0,2120.0,15.5,80,1,32.1
313,4,151.0,90.0,2678.0,16.5,80,1,28.0
314,4,140.0,88.0,2870.0,18.1,80,1,26.4
315,4,151.0,90.0,3003.0,20.1,80,1,24.3
316,6,225.0,90.0,3381.0,18.7,80,1,19.1
317,4,97.0,78.0,2188.0,15.8,80,2,34.3
319,4,120.0,75.0,2542.0,17.5,80,3,31.3
320,4,119.0,92.0,2434.0,15.0,80,3,37.0
321,4,108.0,75.0,2265.0,15.2,80,3,32.2
322,4,86.0,65.0,2110.0,17.9,80,3,46.6
324,4,85.0,65.0,2110.0,19.2,80,3,40.8
325,4,90.0,48.0,2085.0,21.7,80,2,44.3
326,4,90.0,48.0,2335.0,23.7,80,2,43.4
327,5,121.0,67.0,2950.0,19.9,80,2,36.4
328,4,146.0,67.0,3250.0,21.8,80,2,30.0
329,4,91.0,67.0,1850.0,13.8,80,3,44.6
330,4,85.0,,1835.0,17.3,80,2,40.9
331,4,97.0,67.0,2145.0,18.0,80,3,33.8
332,4,89.0,62.0,1845.0,15.3,80,2,29.8
333,6,168.0,132.0,2910.0,11.4,80,3,32.7
335,4,122.0,88.0,2500.0,15.1,80,2,35.0
336,4,140.0,,2905.0,14.3,80,1,23.6
338,4,135.0,84.0,2490.0,15.7,81,1,27.2
339,4,151.0,84.0,2635.0,16.4,81,1,26.6
340,4,156.0,92.0,2620.0,14.4,81,1,25.8
342,4,135.0,84.0,2385.0,12.9,81,1,30.0
343,4,79.0,58.0,1755.0,16.9,81,3,39.1
344,4,86.0,64.0,1875.0,16.4,81,1,39.0
345,4,81.0,60.0,1760.0,16.1,81,3,35.1
346,4,97.0,67.0,2065.0,17.8,81,3,32.3
347,4,85.0,65.0,1975.0,19.4,81,3,37.0
348,4,89.0,62.0,2050.0,17.3,81,3,37.7
349,4,91.0,68.0,1985.0,16.0,81,3,34.1
353,4,105.0,74.0,2190.0,14.2,81,2,33.0
354,4,100.0,,2320.0,15.8,81,2,34.5
355,4,107.0,75.0,2210.0,14.4,81,3,33.7
356,4,108.0,75.0,2350.0,16.8,81,3,32.4
357,4,119.0,100.0,2615.0,14.8,81,3,32.9
358,4,120.0,74.0,2635.0,18.3,81,3,31.6
359,4,141.0,80.0,3230.0,20.4,81,2,28.1
360,6,145.0,76.0,3160.0,19.6,81,2,30.7
361,6,168.0,116.0,2900.0,12.6,81,3,25.4
362,6,146.0,120.0,2930.0,13.8,81,3,24.2
363,6,231.0,110.0,3415.0,15.8,81,1,22.4
364,8,350.0,105.0,3725.0,19.0,81,1,26.6
365,6,200.0,88.0,3060.0,17.1,81,1,20.2
366,6,225.0,85.0,3465.0,16.6,81,1,17.6
368,4,112.0,88.0,2640.0,18.6,82,1,27.0
369,4,112.0,88.0,2395.0,18.0,82,1,34.0
372,4,151.0,90.0,2735.0,18.0,82,1,27.0
374,4,151.0,,3035.0,20.5,82,1,23.0
379,4,98.0,70.0,2125.0,17.3,82,1,36.0
381,4,107.0,75.0,2205.0,14.5,82,3,36.0
382,4,108.0,70.0,2245.0,16.9,82,3,34.0
384,4,91.0,67.0,1965.0,15.7,82,3,32.0
385,4,91.0,67.0,1995.0,16.2,82,3,38.0
387,6,262.0,85.0,3015.0,17.0,82,1,38.0
388,4,156.0,92.0,2585.0,14.5,82,1,26.0
390,4,144.0,96.0,2665.0,13.9,82,3,32.0
391,4,135.0,84.0,2370.0,13.0,82,1,36.0
392,4,151.0,90.0,2950.0,17.3,82,1,27.0
395,4,135.0,84.0,2295.0,11.6,82,1,32.0
397,4,119.0,82.0,2720.0,19.4,82,1,31.0
